OIL_WTI VALUE (1825 TERM),NGP_NYMX  VALUE (1825 TERM),EQTY_S&P500 INDX_USD VALUE,Basis ,IR_USD_GOVT VALUE (10950 TERM),IR_CAD_GOVT VALUE (10950 TERM),IR_CAD_SWAP VALUE (10950 TERM),IR_USD_SWAP VALUE (10950 TERM),FX Rate
86.643,6.94315,1089.143333,15.76190476,4.75E-02,3.95E-02,4.26E-02,4.37E-02,0.958512361
85.46590909,7.166704545,1111.077826,14.61956522,4.95E-02,4.03E-02,4.29E-02,0.045231509,0.94724666
86.42947368,7.296473684,1123.770476,12.02380952,5.04E-02,4.09E-02,4.35E-02,4.67E-02,0.97750525
82.95157895,7.344894737,1088.4775,11.48125,5.09E-02,0.041160487,4.42E-02,4.69E-02,0.994655463
85.27434783,7.07473913,1152.048696,10.15217391,5.13E-02,4.14E-02,4.34E-02,4.68E-02,0.960234306
91.21666667,6.859380952,1196.442727,9.221590909,5.14E-02,4.12E-02,4.30E-02,0.046864428,0.961940065
84.43333333,6.42447619,1123.365714,8.330428571,4.68E-02,0.038962094,4.05E-02,4.25E-02,0.958236079
83.20818182,6.081181818,1083.360909,12.28131818,4.55E-02,3.82E-02,4.04E-02,4.12E-02,0.960792866
82.18571429,5.972095238,1077.202273,11.96081818,4.45E-02,3.83E-02,4.07E-02,3.94E-02,0.967810789
84.00681818,5.705636364,1087.282273,13.52395455,4.26E-02,3.69E-02,3.84E-02,3.62E-02,0.982147836
84.89761905,5.646714286,1121.283182,15.47604545,0.042328536,0.035800282,3.65E-02,3.57E-02,0.988090915
87.94761905,5.644285714,1171.583333,14.4242381,4.44E-02,3.59E-02,3.63E-02,3.71E-02,0.992372626
88.77333333,5.677714286,1198.864091,14.25018182,4.83E-02,3.69E-02,3.76E-02,4.12E-02,1.005868137
90.89363636,5.790727273,1242.188261,13.61969565,4.96E-02,3.69E-02,0.038922136,4.35E-02,1.012465915
95.2855,5.99035,1283.124286,12.65242857,5.09E-02,3.75E-02,4.07E-02,4.48E-02,1.024203983
99.50263158,6.163526316,1322.2125,11.31845,5.22E-02,0.03862553,4.24E-02,4.65E-02,1.044273773
102.0986957,6.377173913,1304.486087,10.55686957,5.10E-02,3.77E-02,4.24E-02,4.51E-02,1.03261696
106.761,6.44585,1331.784762,9.892333333,5.06E-02,3.78E-02,4.23E-02,4.49E-02,1.023254095
100.3285714,6.076380952,1337.983182,10.30909091,4.85E-02,0.036120515,4.03E-02,4.26E-02,1.046272521
100.2272727,5.866272727,1287.288636,9.534090909,4.84E-02,3.52E-02,3.93E-02,4.19E-02,1.018972976
102.844,5.78045,1325.874286,8.988095238,4.91E-02,3.47E-02,3.88E-02,4.18E-02,0.99765566
92.45434783,5.640217391,1185.305652,10.47727273,4.26E-02,0.031796922,3.42E-02,3.50E-02,0.9807344
89.27857143,5.564666667,1173.883182,11.38636364,3.65E-02,2.94E-02,2.95E-02,3.06E-02,0.975780992
87.7552381,5.408190476,1207.21619,9.3075,0.034996902,0.029896854,3.14E-02,3.01E-02,0.977011724
92.73571429,5.26147619,1223.476818,10.51363636,3.34E-02,2.82E-02,2.92E-02,2.84E-02,0.987038781
93.92285714,5.084761905,1244.323182,9.880952381,3.31E-02,2.62E-02,2.70E-02,2.79E-02,1.002869446
97.245,4.978,1298.101818,10.86904762,3.35E-02,2.63E-02,2.67E-02,2.83E-02,1.006473213
99.8965,4.93695,1352.90381,9.642857143,3.48E-02,2.68E-02,2.80E-02,0.029257915,1.007328068
102.1868182,4.823636364,1389.24,12.23068182,3.64E-02,2.73E-02,2.95E-02,3.11E-02,0.989934321
100.41,4.601,1386.98381,12.29638095,3.55E-02,2.68E-02,0.029520557,3.02E-02,0.972924881
92.43318182,4.3555,1340.253043,11.89130435,3.27E-02,0.02517397,2.64E-02,2.75E-02,0.986402846
85.07909091,4.257857143,1323.484286,8.702380952,3.01E-02,2.40E-02,2.56E-02,0.025446354,1.00721169
88.71095238,4.413238095,1360.423636,7.411363636,2.90E-02,0.023486022,2.54E-02,2.47E-02,1.021622635
91.91434783,4.476173913,1403.440435,7.641304348,3.07E-02,2.45E-02,2.60E-02,2.67E-02,1.013081215
92.08052632,4.516263158,1441.5775,9.04375,0.031882282,0.024886612,2.62E-02,2.79E-02,1.003061875
89.82130435,4.747434783,1435.566522,7.392272727,3.23E-02,2.48E-02,2.61E-02,2.82E-02,1.010091961
89.24,4.688190476,1394.354091,7.329545455,3.11E-02,2.40E-02,2.56E-02,2.69E-02,1.008053319
89.7295,4.7088,1422.49381,7.347619048,3.20E-02,2.43E-02,2.61E-02,2.84E-02,0.990505209
91.50619048,4.884904762,1478.281304,6.002173913,3.41E-02,2.56E-02,2.77E-02,3.06E-02,0.976540628
